what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512769913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512770567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512770735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512771366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512771513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512773148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512773377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512774012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512774161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512774755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512774877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1338512777404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512786765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512788842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512797401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512799064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512805616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512807278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512814566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512816968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512824600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512826439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512833263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512834982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512842428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512844269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512855016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512857162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512866745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512868627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512876808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512878375
error,log,,,"The program file specified in the launch configuration does not exist",1338512882334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512882610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512884312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512892759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338512894554
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1338512895763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512904126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512904272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512904864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338512905020
